,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
286,tbar_2,tbar_2,bears,traccar-traccar_275432141-275689407,1065.3709999999994,7.255,0,565.8370000000001,493.6200000000003,615,326,0,NO,NO,,YES,NO,NO
287,tbar_2,tbar_3,bears,traccar-traccar_275432141-275689407,9297.065999999997,7.255,0,426.17499999999995,8864.976999999999,463,62602,0,NO,NO,,YES,NO,NO
288,dynamoth_2,dynamoth_2,bears,traccar-traccar_275432141-275689407,38.221000000000004,6.89,38.221000000000004,0,0,0,0,0,NO,NO,,NO,-,NO
289,nopol_2,nopol_2,bears,traccar-traccar_292295467-292405214,270.06399999999996,7.383,270.06399999999996,0,0,0,0,0,NO,NO,,NO,-,NO
290,simfix_2,simfix_1,bears,traccar-traccar_292295467-292405214,7190.914000000018,8.07,0,4804.177000000006,2337.8309999999988,4923,8180,0,NO,NO,,NO,NO,NO
291,simfix_2,simfix_2,bears,traccar-traccar_292295467-292405214,7191.3890000000265,8.07,0,4805.9650000000065,2336.518000000007,4925,2729,0,NO,NO,,NO,NO,NO
292,simfix_2,simfix_3,bears,traccar-traccar_292295467-292405214,7217.194000000007,8.07,0,3632.2969999999987,3535.990999999995,3748,468130,0,NO,NO,,NO,NO,NO
293,tbar_2,tbar_1,bears,traccar-traccar_292295467-292405214,4851.889000000007,7.673,0,2930.296000000006,1908.2610000000006,2778,2054,yes,NO,NO,,NO,NO,NO
294,tbar_2,tbar_2,bears,traccar-traccar_292295467-292405214,4856.544000000006,7.673,0,2930.296000000006,1912.9159999999995,2778,2330,yes,NO,NO,,NO,NO,NO
295,tbar_2,tbar_3,bears,traccar-traccar_292295467-292405214,7202.505000000006,7.673,0,2621.832000000006,4567.340999999999,2435,504694,0,NO,NO,,NO,NO,NO
296,dynamoth_1,dynamoth_1,bears,traccar-traccar_292295467-292405214,26.291000000000007,7.383,25.378000000000007,0.15,0.913,1,1,yes,NO,NO,,NO,-,NO
297,dynamoth_2,dynamoth_2,bears,traccar-traccar_292295467-292405214,69.654,7.383,62.340999999999994,0.406,7.313,1,277,yes,NO,NO,,NO,-,NO
298,dynamoth_3,dynamoth_3,bears,traccar-traccar_292295467-292405214,25.895000000000003,7.383,24.482000000000003,0.127,1.413,1,277,yes,NO,NO,,NO,-,NO
299,nopol_2,nopol_2,bears,traccar-traccar_301176898-301185806,272.77500000000003,5.962,272.77500000000003,0,0,0,0,0,NO,NO,,NO,-,NO
300,simfix_2,simfix_1,bears,traccar-traccar_301176898-301185806,7194.791999999992,6.39,0,4889.473,2232.502999999995,4109,6853,0,NO,NO,,NO,NO,NO
301,simfix_2,simfix_2,bears,traccar-traccar_301176898-301185806,7197.398999999995,6.39,0,4900.480999999999,2224.1019999999994,4115,2333,0,NO,NO,,NO,NO,NO
302,simfix_2,simfix_3,bears,traccar-traccar_301176898-301185806,7220.911999999995,6.39,0,3297.1139999999946,3850.9820000000036,2843,439499,0,NO,NO,,NO,NO,NO
303,tbar_2,tbar_1,bears,traccar-traccar_301176898-301185806,7201.0709999999945,6.327999999999999,0,3878.016000000001,3295.8909999999955,4210,136069,0,NO,NO,,YES,NO,NO
304,tbar_2,tbar_2,bears,traccar-traccar_301176898-301185806,7200.1449999999995,6.327999999999999,0,4284.312999999997,2888.6680000000047,4756,3284,0,NO,NO,,YES,NO,NO
305,tbar_2,tbar_3,bears,traccar-traccar_301176898-301185806,7204.786000000001,6.327999999999999,0,2998.577000000004,4179.045,3131,563170,0,NO,NO,,YES,NO,NO
306,dynamoth_2,dynamoth_2,bears,traccar-traccar_301176898-301185806,272.1580000000001,5.962,272.1580000000001,0,0,0,0,0,NO,NO,,NO,-,NO
307,nopol_2,nopol_2,bears,traccar-traccar_305623200-305713931,15.943,6.004,15.943,0,0,0,0,0,NO,NO,,NO,-,NO
308,simfix_2,simfix_1,bears,traccar-traccar_305623200-305713931,120.528,6.518,0,68.49099999999999,40.19499999999999,94,76,yes,NO,NO,,NO,NO,NO
309,simfix_2,simfix_2,bears,traccar-traccar_305623200-305713931,122.71300000000001,6.518,0,68.49099999999999,42.379999999999995,94,331,yes,NO,NO,,NO,NO,NO
310,simfix_2,simfix_3,bears,traccar-traccar_305623200-305713931,177.81599999999997,6.518,0,68.49099999999999,97.48299999999995,94,13632,yes,NO,NO,,NO,NO,NO
311,tbar_2,tbar_1,bears,traccar-traccar_305623200-305713931,119.72299999999998,6.282,0,70.271,47.818999999999974,94,56,yes,NO,NO,,NO,NO,NO
312,tbar_2,tbar_2,bears,traccar-traccar_305623200-305713931,121.48000000000002,6.282,0,70.271,49.57600000000001,94,339,yes,NO,NO,,NO,NO,NO
313,tbar_2,tbar_3,bears,traccar-traccar_305623200-305713931,185.14600000000002,6.282,0,70.271,113.24199999999999,94,15904,yes,NO,NO,,NO,NO,NO
314,dynamoth_1,dynamoth_1,bears,traccar-traccar_305623200-305713931,5.202999999999999,6.004,4.318999999999999,0.125,0.884,1,1,yes,NO,NO,,NO,-,NO
315,dynamoth_2,dynamoth_2,bears,traccar-traccar_305623200-305713931,9.497,6.004,6.415,0.276,3.082,1,284,yes,NO,NO,,NO,-,NO
316,dynamoth_3,dynamoth_3,bears,traccar-traccar_305623200-305713931,5.538,6.004,4.17,0.106,1.368,1,284,yes,NO,NO,,NO,-,NO
317,nopol_2,nopol_2,bears,traccar-traccar_307668730-307760931,135.11899999999994,6.112,135.11899999999994,0,0,0,0,0,NO,NO,,NO,-,NO
318,simfix_2,simfix_1,bears,traccar-traccar_307668730-307760931,7193.195999999989,6.748,0,4790.738999999998,2323.9709999999973,5121,5519,0,NO,NO,,NO,NO,NO
319,simfix_2,simfix_2,bears,traccar-traccar_307668730-307760931,7200.528,6.748,0,4791.5859999999975,2330.4560000000083,5122,2473,0,NO,NO,,NO,NO,NO
320,simfix_2,simfix_3,bears,traccar-traccar_307668730-307760931,7233.642999999996,6.748,0,3492.121999999996,3663.035000000006,3746,369075,0,NO,NO,,NO,NO,NO
321,tbar_2,tbar_1,bears,traccar-traccar_307668730-307760931,7200.992999999977,6.525,0,3488.761999999984,3698.2339999999963,3727,113603,0,NO,NO,,NO,NO,NO
322,tbar_2,tbar_2,bears,traccar-traccar_307668730-307760931,7201.281999999977,6.525,0,4119.307999999986,3067.9769999999944,4253,3187,0,NO,NO,,NO,NO,NO
323,tbar_2,tbar_3,bears,traccar-traccar_307668730-307760931,7203.1279999999915,6.525,0,2527.829999999995,4661.300999999999,2810,534375,0,NO,NO,,NO,NO,NO
324,dynamoth_2,dynamoth_2,bears,traccar-traccar_307668730-307760931,143.24699999999996,6.112,143.24699999999996,0,0,0,0,0,NO,NO,,NO,-,NO
325,nopol_2,nopol_2,bears,traccar-traccar_308288525-308872339,17.211999999999996,9.467,17.211999999999996,0,0,0,0,0,NO,NO,,NO,-,NO
